model,role,context,format,parse_rate,accuracy,mean_prediction,mode_prediction,category_accuracy,hybrid_consistency
1B,instruction_constrained,HbA1c,hybrid,0.8333,0.0,4.0,4.0,0.0,
1B,instruction_constrained,Insulin,hybrid,1.0,0.1667,2.0,2.0,0.1667,0.0
1B,instruction_constrained,TG,hybrid,0.8333,0.1667,2.6,2.0,0.3333,0.4
1B,instruction_constrained,Temp,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,role_prompting,BP,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,role_prompting,Creatinine,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,role_prompting,Glucose,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,role_prompting,HR,hybrid,1.0,0.1667,4.0,4.0,0.1667,0.0
1B,role_prompting,HbA1c,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,role_prompting,Insulin,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,role_prompting,TG,hybrid,1.0,0.1667,4.0,4.0,0.1667,1.0
1B,role_prompting,Temp,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,zero_shot,BP,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,zero_shot,Creatinine,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,zero_shot,Glucose,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,zero_shot,HR,hybrid,1.0,0.1667,4.0,4.0,0.1667,0.0
1B,zero_shot,HbA1c,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,zero_shot,Insulin,hybrid,1.0,0.1667,4.0,4.0,0.0,
1B,zero_shot,TG,hybrid,1.0,0.1667,4.0,4.0,0.1667,1.0
1B,zero_shot,Temp,hybrid,1.0,0.1667,4.0,4.0,0.0,
3B,forced_answer,BP,hybrid,1.0,0.1667,3.0,3.0,0.3333,0.0
3B,forced_answer,Creatinine,hybrid,1.0,0.1667,2.8333,3.0,0.1667,0.6667
3B,forced_answer,Glucose,hybrid,1.0,0.1667,2.8333,3.0,0.1667,0.1667
3B,forced_answer,HR,hybrid,1.0,0.1667,2.8333,3.0,0.3333,0.6667
3B,forced_answer,HbA1c,hybrid,1.0,0.1667,3.0,3.0,0.1667,0.0
3B,forced_answer,Insulin,hybrid,1.0,0.1667,3.0,3.0,0.1667,0.0
3B,forced_answer,TG,hybrid,1.0,0.1667,3.0,3.0,0.1667,0.3333
3B,forced_answer,Temp,hybrid,1.0,0.3333,2.6667,3.0,0.3333,0.4
3B,instruction_constrained,BP,hybrid,1.0,0.1667,3.0,3.0,0.3333,0.0
3B,instruction_constrained,Creatinine,hybrid,1.0,0.1667,2.8333,3.0,0.5,0.3333
3B,instruction_constrained,Glucose,hybrid,1.0,0.1667,3.0,3.0,0.5,0.5
3B,instruction_constrained,HR,hybrid,1.0,0.1667,2.8333,3.0,0.1667,0.3333
3B,instruction_constrained,HbA1c,hybrid,1.0,0.1667,3.0,3.0,0.1667,0.0
3B,instruction_constrained,Insulin,hybrid,1.0,0.1667,2.8333,3.0,0.1667,0.1667
3B,instruction_constrained,TG,hybrid,1.0,0.1667,3.0,3.0,0.3333,0.5
3B,instruction_constrained,Temp,hybrid,1.0,0.3333,2.6667,3.0,0.3333,0.4
3B,role_prompting,BP,hybrid,1.0,0.3333,2.5,2.0,0.3333,0.5
3B,role_prompting,Creatinine,hybrid,1.0,0.3333,2.5,2.0,0.5,0.6667
3B,role_prompting,Glucose,hybrid,1.0,0.3333,2.5,2.0,0.3333,0.3333
3B,role_prompting,HR,hybrid,1.0,0.1667,2.3333,2.0,0.1667,1.0
3B,role_prompting,HbA1c,hybrid,1.0,0.1667,3.0,3.0,0.0,0.0
3B,role_prompting,Insulin,hybrid,1.0,0.3333,2.5,2.0,0.1667,0.8333
3B,role_prompting,TG,hybrid,1.0,0.1667,3.0,3.0,0.3333,0.5
3B,role_prompting,Temp,hybrid,1.0,0.3333,2.5,2.0,0.1667,0.5
3B,zero_shot,BP,hybrid,1.0,0.3333,2.5,2.0,0.3333,0.5
3B,zero_shot,Creatinine,hybrid,1.0,0.3333,2.5,2.0,0.5,0.6667
3B,zero_shot,Glucose,hybrid,1.0,0.3333,2.5,2.0,0.3333,0.5
3B,zero_shot,HR,hybrid,1.0,0.3333,2.5,2.0,0.3333,0.6667
3B,zero_shot,HbA1c,hybrid,1.0,0.1667,3.0,3.0,0.1667,0.0
3B,zero_shot,Insulin,hybrid,1.0,0.1667,2.1667,2.0,0.1667,0.8333
3B,zero_shot,TG,hybrid,1.0,0.1667,3.0,3.0,0.3333,0.5
3B,zero_shot,Temp,hybrid,1.0,0.3333,2.5,2.0,0.3333,0.3333
